ноль	cero
остана́вливаться / останови́ться, остановлю́сь, остано́вишься, остано́вятся	parar, detenerse
(по)думать	pensar
говорить' / сказать', скажу', 'скажешь, 'скажут	decir, hablar
(по)сле'довать	seguir
(съ)есть, ем, ешь, ест, едим', еди'те, едят'<br />(ел, ела, ело, ели)<br />(imp. ешь, ешьте)	comer
(вы)пить, пью, пьёшь, пьют<br />(imp. пей, пейте)	beber
убивать' / убить', убью', убьёшь, убьют'<br>(убей, убейте)	matar
умирать' / умереть', умру', умрёшь, умрут'<br>('умер, умерла', 'умерло, 'умерли)	morir
улыбаться / улыбнуться, улыбнусь', улыбнёшься, улыбнутся	sonreír
(за)смеяться, смеюсь', смеёшься, смеют'ся	reír
'плакать, 'плачу, 'плачешь, 'плачут	llorar
покупать' / купить', куплю', 'купишь, 'купят	comprar
испо́льзовaть + A / по́льзовaться + I	usar
'двигать(ся), двигаю/движу, двигаешь/движешь, двигают/движут<br />/<br />'двинуть(ся), двину, двинешь, двинут	mover(se)
(со)гнуть, гну, гнёшь, гнут	doblar, flexionar, curvar
давать', даю', даёшь, дают'<br>/<br>дать, дам, дашь, даст, дадим', дадите, дакут'	dar
(за)платить', плачу', 'платишь, 'платят	pagar
оставаться, остаюсь', остаёшься, остаются<br />/<br />остать'ся, останусь, останешься, останутся	quedarse
продавать / продать	vender
(по)смотреть', смотрю' смотрешь, смотрят	mirar
стрелять' / стрельнуть', стрельну', стрельнёшь, стрельнут'	disparar
позволять' / позво́лить	permitir
надевать', надеваю, надеваешь, надевают<br>/<br>надеть', надену, наденешь, наденут	ponerse (ropa, ...)
снимать'<br>/<br>снять, сниму', снимешь, снимут	quitar, bajar, quitarse (ropas, ...), sacar (una foto), alquilar (casa, ...)
поднимать / поднять, подниму', поднимешь, поднимут	levantar, elevar, subir (algo)
бить, бью, бьёшь, бьют<br>(бей, бейте)	pegar
ударять' / ударить	golpear
'прыгать	saltar, rebotar
(вы/об/на)учить', учу' 'учишь, 'учат	aprender, enseñar
'запах	"olor (""sentir el olor de"" = oler algo)"
вкус	"sabor (""sentir el sabor de"" = saborear)"
'пахнуть, 'пахну, 'пахнешь, 'пахнут	oler (emitir olor)
(по)'слушать	escuchar
(у)'слышать, 'слышу, 'слышишь, 'слышат	oír
касаться / коснуться, коснусь', коснёшься, косннутся	tocar, concerner (+ G)
'трогать / 'тронуть	tocar, emocionar
(по)висеть', вишу', висишь', висят'	estar colgado
'вешать / повесить, повешу, повесишь, повесят	colgar
(у)'видеть, 'вижу, 'видишь, 'видят	ver
целовать	besar
'чувствовать	sentir
(по)любить', люблю', 'любишь, 'любят	amar
ложиться, ложусь', ложишся, ложатся<br>/<br>лечь, 'лягу, 'ляжешь, 'лягут<br>(лёг, легла', легло', легли')<br>(ляг, лягте)	tumbarse, yacer, estar echado
сжигать', сжечь, сожгу', сожжёшь, сожгут'<br>(сжёг, сожгла', сожгло', сожгли')	quemar
(с)гореть', горю', горишь', горят'	arder
(по)'резать, 'режу, 'режешь, 'режут	cortar
танцевать'	bailar
(рас)'плавить, 'плавлю, 'плавишь, 'плавят	fundir (metal, ...)
('вы)копа́ть	cavar
взрыва́ть / взорва́ть, взорву', взорвёшь, взорвут'	hacer explotar (reflexivo: explotar)
(по)стоя́ть, стою', стоишь', стоят'	estar de pie
(по)сидет', сижу', сидишь', сидят'	estar sentado
сади́ться, сажу́сь, сади́шься, садя́тся<br>/<br>сесть, ся́ду, ся́дешь, ся́дут	sentarse
(по)спать, сплю, спишь, спят	dormir
(с)петь, пою', поёшь, поют'	cantar
просыпать'ся / проснуть'ся	despertarse
боро́ться, -ю́сь,-ешься, -ются	luchar
пройти', проехать, ... (мимо + G)	pasar (por delante de...)
(по)менять'	cambiar
смесь	mezcla
(по/о)стричь, стригу́,стрижёшь, стригу́т	recortar
верёвка	cuerda
(по)считать'	contar, considerar
(по)женить'(ся), женю', 'женишь, 'женят	casarse (con = на + P)
(по)моли́ться, -ю́сь,-ишься	rogar, rezar
застрева́ть / застря́|ть, -ну,-нешь	atascarse (застря́л = atascado, atorado)
заставля́ть / заста́в|ить, -лю,-ишь	bloquear / obligar, forzar (a hacer algo)
выи́грывать / вы́играть	ganar, vencer
получа́ть / пол|учи́ть, -учу́,-у́чишь	recibir, conseguir, obtener
(по)теря́ть	perder (un objeto)
прои́грывать / проигра́ть	perder
(по)меша́ть<br>(с)меша́ть	remover<br>mezclar
(вы́/по)мыть, мо́ю, мо́ешь	lavar
(вы́/по)чи́|стить, -щу,-стишь	limpiar
(при)гото́в|ить, -лю,-ишь	preparar, cocinar
открыва́ть / откр|ы́ть, -о́ю,-о́ешь	abrir
закрыва́ть / закр|ы́ть, -о́ю,-о́ешь	cerrar
(na)пи|са́ть, -шу́,-шешь	escribir
станови́ться, становлю́сь. стано́вишься<br>/<br>стать, ста́ну, ста́нешь	convertirs en, volverse (+ I)
(с)пря́|тать, -чу,-чешь	esconder
нахо|ди́ть, нахожу́, нахо́дишь <br>/<br>на|йти́, -йду́,-йдёшь<br>(pt -шёл,-шла́,-шло́)	encontrar
'тронут	emocionado
внитовка	fusil
(рас)та́ять	derretirse (nieve, mantequilla, ..)
(по)звони́ть	telefonear
(по)звать, зову́, зовёшь, зову́т	llamar
повора́чивать / поверн|у́ть, -у́,-ёшь	girar (cambiar de dirección)
(по/вы)стро́ить	construir
(вы́)раст|и́, -у́,-ёшь<br>(рос,росла́,росло́)	crecer
(по)тян|у́ть, -у́,-ешь	tirar de, jalar
(вы́)тащ|и́ть, -у́,-ишь	arrastrar (unidireccional)
таска́ть	arrastrar (multidireccional)
(на/про)корм|и́ть, -лю́,-ишь	alimentar
лов|и́ть, -лю́,-ишь / пойма́ть	atrapar, agarrar
броса́ть / бро́|сить, -шу,-сишь	lanzar, arrojar
(с)ломать'(ся)	romper(se)
быть +I/(при+L)	llevar puesto (ropa, ...)
подпи́сывать / подп|иса́ть, -ишу́,-и́шешь	firmar
